ZIPCODE,CAMIS,SCORE,Latitude,Longitude,CUISINE DESCRIPTION_Afghan,CUISINE DESCRIPTION_African,CUISINE DESCRIPTION_American,CUISINE DESCRIPTION_Armenian,CUISINE DESCRIPTION_Asian/Asian Fusion,CUISINE DESCRIPTION_Australian,CUISINE DESCRIPTION_Bagels/Pretzels,CUISINE DESCRIPTION_Bakery Products/Desserts,CUISINE DESCRIPTION_Bangladeshi,CUISINE DESCRIPTION_Barbecue,CUISINE DESCRIPTION_Basque,CUISINE DESCRIPTION_Bottled Beverages,CUISINE DESCRIPTION_Brazilian,CUISINE DESCRIPTION_Cajun,CUISINE DESCRIPTION_Californian,CUISINE DESCRIPTION_Caribbean,CUISINE DESCRIPTION_Chicken,CUISINE DESCRIPTION_Chilean,CUISINE DESCRIPTION_Chinese,CUISINE DESCRIPTION_Chinese/Cuban,CUISINE DESCRIPTION_Chinese/Japanese,CUISINE DESCRIPTION_Coffee/Tea,CUISINE DESCRIPTION_Continental,CUISINE DESCRIPTION_Creole,CUISINE DESCRIPTION_Creole/Cajun,CUISINE DESCRIPTION_Czech,CUISINE DESCRIPTION_Donuts,CUISINE DESCRIPTION_Eastern European,CUISINE DESCRIPTION_Egyptian,CUISINE DESCRIPTION_English,CUISINE DESCRIPTION_Ethiopian,CUISINE DESCRIPTION_Filipino,CUISINE DESCRIPTION_French,CUISINE DESCRIPTION_Frozen Desserts,CUISINE DESCRIPTION_Fruits/Vegetables,CUISINE DESCRIPTION_Fusion,CUISINE DESCRIPTION_German,CUISINE DESCRIPTION_Greek,CUISINE DESCRIPTION_Hamburgers,CUISINE DESCRIPTION_Hawaiian,CUISINE DESCRIPTION_Hotdogs,CUISINE DESCRIPTION_Hotdogs/Pretzels,CUISINE DESCRIPTION_Indian,CUISINE DESCRIPTION_Indonesian,CUISINE DESCRIPTION_Iranian,CUISINE DESCRIPTION_Irish,CUISINE DESCRIPTION_Italian,CUISINE DESCRIPTION_Japanese,CUISINE DESCRIPTION_Jewish/Kosher,"CUISINE DESCRIPTION_Juice, Smoothies, Fruit Salads",CUISINE DESCRIPTION_Korean,CUISINE DESCRIPTION_Latin American,CUISINE DESCRIPTION_Lebanese,CUISINE DESCRIPTION_Mediterranean,CUISINE DESCRIPTION_Mexican,CUISINE DESCRIPTION_Middle Eastern,CUISINE DESCRIPTION_Moroccan,CUISINE DESCRIPTION_New American,CUISINE DESCRIPTION_New French,CUISINE DESCRIPTION_Not Listed/Not Applicable,CUISINE DESCRIPTION_Nuts/Confectionary,CUISINE DESCRIPTION_Other,CUISINE DESCRIPTION_Pakistani,CUISINE DESCRIPTION_Pancakes/Waffles,CUISINE DESCRIPTION_Peruvian,CUISINE DESCRIPTION_Pizza,CUISINE DESCRIPTION_Polish,CUISINE DESCRIPTION_Portuguese,CUISINE DESCRIPTION_Russian,CUISINE DESCRIPTION_Salads,CUISINE DESCRIPTION_Sandwiches,CUISINE DESCRIPTION_Sandwiches/Salads/Mixed Buffet,CUISINE DESCRIPTION_Scandinavian,CUISINE DESCRIPTION_Seafood,CUISINE DESCRIPTION_Soul Food,CUISINE DESCRIPTION_Soups,CUISINE DESCRIPTION_Soups/Salads/Sandwiches,CUISINE DESCRIPTION_Southeast Asian,CUISINE DESCRIPTION_Southwestern,CUISINE DESCRIPTION_Spanish,CUISINE DESCRIPTION_Steakhouse,CUISINE DESCRIPTION_Tapas,CUISINE DESCRIPTION_Tex-Mex,CUISINE DESCRIPTION_Thai,CUISINE DESCRIPTION_Turkish,CUISINE DESCRIPTION_Vegan,CUISINE DESCRIPTION_Vegetarian,CRITICAL FLAG_Critical,CRITICAL FLAG_Not Applicable,CRITICAL FLAG_Not Critical,ACTION_Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,ACTION_Establishment re-opened by DOHMH.,ACTION_No violations were recorded at the time of this inspection.,ACTION_Violations were cited in the following area(s).,AVG COUNT,AVG FLAGS
10000.0,50132187,13.0,40.782288655442,-73.965194214016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0
10001.0,21401531132,5102.0,18214.831170574573,-33074.69306506272,0,1,130,0,9,2,4,7,0,0,0,4,0,0,1,0,5,0,11,1,1,54,1,0,0,0,9,0,0,0,0,0,3,4,0,1,0,1,8,0,1,1,2,0,0,11,10,13,0,3,49,2,1,11,2,0,0,1,0,0,0,11,0,0,1,15,0,0,0,5,15,8,0,2,0,1,3,0,0,8,3,2,4,1,0,1,3,241.0,3.0,203.0,0.0,5.0,2.0,440.0,11.413870246085011,0.5391498881431768
10002.0,21597082007,5252.0,18241.72514677289,-33147.412047983205,0,0,92,1,15,2,1,28,0,1,0,4,0,0,0,3,6,0,57,0,1,31,0,1,1,0,3,3,0,0,0,1,12,9,0,0,1,3,4,0,0,1,4,0,0,1,12,30,0,6,9,6,0,2,10,3,0,1,0,1,0,8,0,0,1,26,0,1,0,0,6,1,0,3,0,1,1,4,0,7,0,2,2,11,2,3,3,241.0,4.0,203.0,0.0,10.0,3.0,435.0,11.723214285714286,0.5379464285714286
10003.0,26170231565,6786.0,22565.00825471161,-40989.90236081308,0,0,126,0,17,1,3,7,1,2,0,6,0,0,0,0,7,0,26,0,0,63,0,0,0,0,6,1,0,1,1,0,9,9,0,0,0,2,4,2,0,1,11,0,0,8,29,50,5,9,5,2,1,9,20,5,0,1,0,1,2,9,0,1,0,21,3,0,3,7,6,4,1,8,0,0,3,4,0,3,1,2,7,9,0,5,4,297.0,4.0,253.0,0.0,10.0,3.0,541.0,12.249097472924188,0.5361010830324909
10004.0,5276720699,1187.0,4599.533555491988,-8363.321647123495,0,0,36,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,10,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,2,7,2,2,3,1,1,0,1,4,0,0,0,0,0,0,3,0,0,0,6,0,0,0,2,5,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,54.0,1.0,58.0,0.0,2.0,1.0,110.0,10.504424778761061,0.4778761061946903
10005.0,2337774877,643.0,1994.590958531396,-3626.405647984467,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0.0,22.0,0.0,0.0,0.0,49.0,13.122448979591837,0.5510204081632653
10006.0,2085739423,454.0,1791.169214546881,-3256.590386823142,0,0,14,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.0,0.0,24.0,0.0,1.0,0.0,43.0,10.318181818181818,0.45454545454545453
10007.0,5685618298,1466.0,4885.633894184594,-8881.11598437384,0,0,35,0,2,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,18,0,0,0,0,5,0,0,0,0,0,2,0,0,2,0,0,4,1,0,0,3,0,0,0,3,7,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,2,0,0,0,0,5,0,0,0,2,0,4,0,0,0,0,54.0,0.0,66.0,0.0,0.0,0.0,120.0,12.216666666666667,0.45
10009.0,12713167209,3251.0,11036.900265870103,-20049.278422687166,0,0,70,0,9,0,3,4,0,0,0,8,0,0,0,1,3,0,10,0,1,23,1,0,0,0,3,1,0,0,1,1,4,3,0,0,0,2,2,0,1,0,3,0,0,2,11,19,0,3,2,7,0,5,3,2,1,1,0,0,0,7,0,0,1,17,0,2,1,0,4,2,1,2,1,0,0,2,0,3,0,2,3,4,0,3,6,154.0,1.0,116.0,1.0,3.0,1.0,266.0,11.99630996309963,0.5682656826568265
10010.0,10175449179,2598.0,8718.487564327876,-15833.148145620882,0,0,64,0,2,0,4,5,0,1,0,0,0,0,0,0,8,0,7,0,0,25,0,0,0,0,1,1,0,0,0,1,2,2,0,1,1,1,4,0,0,0,5,0,0,2,10,7,0,3,3,1,0,4,6,0,0,0,0,0,0,4,0,0,0,10,0,0,0,2,2,1,0,1,0,0,2,1,0,1,2,2,6,5,0,3,1,102.0,4.0,108.0,0.0,2.0,4.0,208.0,12.14018691588785,0.4766355140186916
